Code,Price,Cost
G014 ,14000,8300
G015 ,24000,15127
G016 ,4000,3000
G017 ,4000,4920
G018 ,7000,4669
G019 ,16000,13625
G020 ,17000,16500
G021 ,3000,2100
G022 ,3000,2045
G023 ,15000,12981
G024 ,13500,10000
G025 ,17000,14350
G026 ,1500,900
G027 ,16000,14000
G028 ,16000,14233
G029 ,26500,24500
G030 ,25000,24283
G031 ,25000,23000
G033 ,15000,12800
G034 ,16500,13300
G035 ,25000,21700
G036 ,16000,11000
G037 ,16000,12800
G038 ,16000,14500
G039 ,22000,23884
G040 ,500,420
G041 ,12000,8900
G042 ,12000,8900
G043 ,12000,8900
G044 ,42000,8900
G045 ,68000,55300
G046 ,68000,55300
G047 ,12000,9200
G048 ,12500,8900
G049 ,12000,11520
G050 ,14500,13700
G051 ,16000,15300
G052 ,16500,15300
G053 ,10500,9600
G054 ,20000,16400
G055 ,15000,13400
G057 ,18000,16700
G058 ,14000,10250
G059 ,26000,19500
G060 ,14000,11500
G061 ,240000,212500
G062 ,20000,17507
G063 ,15500,14500
G064 ,19500,17500
G065 ,68000,56800
G066 ,16000,14000
G067 ,410000,373000
G068 ,16000,15500
G069 ,17000,16900
G070 ,16000,14700
G071 ,17000,19433
G072 ,60000,53200
G073 ,16500,14700
G074 ,18000,17000
G078 ,16500,13000
G079 ,24000,23000
G081 ,9000,8000
G082 ,15000,14071
G083 ,14000,10000
G084 ,18500,17100
G085 ,26000,22700
G086 ,95000,90000
G087 ,22000,18000
G088 ,10500,9500
G089 ,17500,156000
G090 ,17500,156000
G091 ,40000,38500
G092 ,16500,14550
G093 ,95000,88200
G094 ,19000,17700
G096 ,60000,17896
G097 ,12500,11200
G098 ,32500,30700
G099 ,100000,88000
G100 ,13000,20272
G101 ,15000,12563
G102 ,11500,10300
G103 ,15000,12634
G104 ,12500,11100
G105 ,13000,10000
G106 ,30000,25000
G107 ,25000,16000
G108 ,12000,11000
G109 ,12000,11000
G110 ,115000,94300
G111 ,12000,11000
G112 ,12000,11200
G122 ,20000,17000
G126 ,40000,38500
G129 ,22000,21000
G130 ,29000,27200
G131 ,22000,19200
G132 ,25500,24100
G133 ,27000,22000
G134 ,30000,24400
G135 ,32000,29000
G136 ,24000,15300
G137 ,14000,8300
H001 ,75000,67100
H002 ,16000,10860
H003 ,57000,45000
H004 ,65500,63550
H005 ,72000,58400
H006 ,70000,65000
H007 ,8000,6350
H008 ,6000,5500
H009 ,28000,26000
H010 ,21000,19000
H014 ,3000,2000
H017 ,16000,13200
H018 ,80000,78000
H019 ,260000,233600
H020 ,55000,50000
H021 ,12000,9000
H022 ,40000,35000
H023 ,60000,57500
K001 ,114000,112700
K002 ,115800,111725
K003 ,70000,40000
K004 ,50000,40000
K005 ,115000,94800
K0051 ,115000,94300
K006 ,125000,109500
K007 ,125000,114275
K008 ,135000,115650
K009 ,90000,80800
K010 ,90000,83025
K011 ,106600,105575
K012 ,80000,74825
K013 ,114000,113000
M001 ,14000,12000
M002 ,16000,12000
M003 ,15000,12535
M005 ,16000,13384
M006 ,240000,215200
M007 ,240000,116164
M008 ,152000,108650
M009 ,155000,152000
M010 ,20000,17950
M015 ,37000,30800
M025 ,18000,15000
M026 ,16000,14000
M24 ,40000,34850
O2 ,6000,5000
S001 ,24000,9500
S002 ,11000,9300
S006 ,9500,7800
S007 ,7500,8000
S008 ,11000,2000
S009 ,3000,2000
S010 ,8500,6000
S011 ,7000,5000
S014 ,8500,7500
S018 ,7000,6000
S022 ,8000,7000
S031 ,6000,5500
S032 ,16500,14000
S033 ,9000,7000
S034 ,1500,1200
S035 ,5000,3500
S036 ,8000,7000
S037 ,8000,7000
S038 ,8000,7000
S039 ,8000,7000
S040 ,7000,6000
S041 ,16500,14500
S042 ,5000,4000
S043 ,7500,6500
S044 ,8000,7000
S047 ,7500,6500
S048 ,11000,10000
S050 ,1500,1000
S100 ,1500,950
S102 ,13000,10000
S103 ,8500,8000
Z001 ,170000,163000
